
Name, OtherNames, Color, Taste, Use, Ayurvedic
Ajwain Seeds,"carom, lovage, omum, Bishop's weed",brown/ green-brown, pungent (raw), crushed & cooked ,remedy for gas and upset stomach
Asafoetida, Hing / heeng, yellow-brown, bitter, cooked into food for garlic-onion flavor, digestive aid & antibiotic
Bay Leaves,tej patta,green, bitter,cooked into food,appetite stimulant & gas relief
Black Salt,kaala namak,gray-pink, sulfur ,added to food, digestive & anti-gas
Cardamom Pods, illaichi, green & black, freshens breath, crushed & eaten, gas relief/ digestion/ nausea
Chiles, mirch/ mirchi, red/ green, spicy, cooked into food, digestion/ sinuses
Cinnamon, dalchini / darchini, brown, , cooked into food, digestion/ gas & nausea
Cloves, laung/ lavang, brown-black, bitter, cooked into food, digestion/ colic/ nausea
Coriander Seeds, dhania/ sookha/ patta/ hara, beige-brown, , cooked into food, digestion/ mild sedative
Cumin, jeera/ zeera, grey-black, bitter, cooked into food, digestion/ gas
